year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1964,UT,Google Ngrams,Cal Rampton,Mitchell Melich,D,0.5699000000000001,0.4301,0.0,1.0,0.0,6.8144139220294164e-09,0.0,winner_zero
1964,VT,Google Ngrams,Philip H. Hoff,Ralph A. Foote,D,0.649,0.351,0.834070856007519,0.16592914399248104,4.983802703861784e-08,9.914722598480807e-09,1.0,ok
1964,WA,Google Ngrams,Daniel J. Evans,Albert Rosellini,R,0.5577000000000001,0.4389,0.7603814963306387,0.23961850366936133,2.560908463067335e-08,8.070173418417426e-09,1.0,ok
1964,WV,Google Ngrams,Hulett C. Smith,Cecil H. Underwood,D,0.5490999999999999,0.4509,0.637998670611337,0.36200132938866303,2.0961871349811645e-08,1.189379483790276e-08,1.0,ok
1964,WI,Google Ngrams,Warren P. Knowles,John W. Reynolds,R,0.5055,0.4943999999999999,0.28259311190953357,0.7174068880904665,2.811965105209424e-08,7.138613966617413e-08,0.0,ok
1965,NJ,Google Ngrams,Richard J. Hughes,Wayne Dumont,D,0.574,0.411,0.8755835839460171,0.1244164160539829,1.7152733988723412e-07,2.4373249196685265e-08,1.0,ok
1965,VA,Google Ngrams,Mills Godwin,Linwood Holton,D,0.479,0.377,0.2953457088375824,0.7046542911624176,2.0403294609394607e-09,4.8679458242162355e-09,0.0,ok
1966,AL,Google Ngrams,Lurleen Wallace,James D. Martin,D,0.6338,0.31,0.458079059893688,0.541920940106312,2.2948372979669784e-08,2.7148597148141107e-08,0.0,ok
1966,AK,Google Ngrams,Wally Hickel,William A. Egan,R,0.4999,0.4836999999999999,0.004084110768391381,0.9959158892316086,3.298937512052902e-10,8.044503374549095e-08,0.0,ok
1966,AZ,Google Ngrams,Jack Williams,Samuel Goddard,R,0.5379999999999999,0.462,0.9441027899621748,0.05589721003782522,6.972140553784811e-08,4.127974295720094e-09,1.0,ok
1966,AR,Google Ngrams,Winthrop Rockefeller,James D. Johnson,R,0.5436,0.4564,0.8766460247770949,0.12335397522290514,6.546117603534185e-08,9.211125195918157e-09,1.0,ok
1966,CA,Google Ngrams,Ronald Reagan,Pat Brown,R,0.5755,0.4227,0.7160355412886333,0.28396445871136666,3.1436589154054673e-07,1.2467082299849608e-07,1.0,ok
1966,CO,Google Ngrams,John Arthur Love,Robert Lee Knous,R,0.5405,0.435,1.0,0.0,2.1423687823762805e-10,0.0,1.0,loser_zero
1966,CT,Google Ngrams,John N. Dempsey,E. Clayton Gengras,D,0.5568,0.4428,0.7963725623343373,0.2036274376656627,3.815234705939474e-08,9.755314334114473e-09,1.0,ok
1966,FL,Google Ngrams,Claude R. Kirk Jr.,Robert K. High,R,0.5513,0.4486,0.9060715170081804,0.09392848299181955,1.5542307885141327e-08,1.6112032819037836e-09,1.0,ok
1966,GA,Google Ngrams,Bo Callaway,Lester Maddox,R,0.4653,0.4622,0.03978859927990954,0.9602114007200905,2.128984488702912e-09,5.137841530000742e-08,0.0,ok
1966,HI,Google Ngrams,John A. Burns,Randolph Crossley,D,0.511,0.489,0.9745914100548541,0.025408589945145943,9.178389248631902e-08,2.392899489667144e-09,1.0,ok
1966,ID,Google Ngrams,Don Samuelson,Cecil Andrus,R,0.4140999999999999,0.3711,0.7692419564154904,0.23075804358450958,1.1955437528854418e-08,3.586405228350742e-09,1.0,ok
