year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1966,Oklahoma,Dewey F. Bartlett,Preston J. Moore,R,D,0.5568,0.4375
1966,Oregon,Tom McCall,Robert Straub,R,D,0.5526,0.4467
1966,Pennsylvania,Ray Shafer,Milton Shapp,R,D,0.521,0.461
1966,Rhode Island,John Chafee,Horace E. Hobbs,R,D,0.633,0.367
1966,South Carolina,Robert Evander McNair,Joseph O. Rogers Jr.,D,R,0.5820000000000001,0.418
1966,South Dakota,Nils Boe,Robert Chamberlin,R,D,0.5771000000000001,0.4229
1966,Texas,John Connally,T. E. Kennerly,D,R,0.728,0.258
1966,Vermont,Philip H. Hoff,Richard A. Snelling,D,R,0.5770000000000001,0.423
1966,Wisconsin,Warren P. Knowles,Patrick Lucey,R,D,0.535,0.4608
1966,Wyoming,Stanley Hathaway,Ernest Wilkerson,R,D,0.5428999999999999,0.4571
1967,Kentucky,Louie Nunn,Henry Ward,R,D,0.512,0.4799
1967,Mississippi,John Bell Williams,Rubel Phillips,D,R,0.7027,0.2973
1968,Arizona,Jack Williams,Samuel Goddard,R,D,0.578,0.422
1968,Arkansas,Winthrop Rockefeller,Marion H. Crank,R,D,0.5243,0.4757
1968,Delaware,Russell W. Peterson,Charles L. Terry Jr.,R,D,0.5051,0.4949
1968,Illinois,Richard B. Ogilvie,Samuel H. Shapiro,R,D,0.5121,0.4836999999999999
1968,Indiana,Edgar Whitcomb,Robert L. Rock,R,D,0.5272,0.4713
1968,Iowa,Robert D. Ray,Paul Franzenburg,R,D,0.5406,0.4586
1968,Kansas,Robert Docking,Rick Harman,D,R,0.519,0.476
1968,Missouri,Warren E. Hearnes,Lawrence K. Roos,D,R,0.608,0.392
1968,Montana,Forrest H. Anderson,Tim Babcock,D,R,0.5411,0.4186999999999999
1968,New Hampshire,Walter R. Peterson Jr.,Emile R. Bussiere,R,D,0.5253,0.4744
1968,New Mexico,David Cargo,Fabian Chavez Jr.,R,D,0.502,0.4929
1968,North Carolina,Robert W. Scott,Jim Gardner,D,R,0.527,0.473
1968,North Dakota,William L. Guy,Robert P. McCarney,D,R,0.5482,0.437
1968,Rhode Island,Frank Licht,John Chafee,D,R,0.5102,0.4897999999999999
1968,South Dakota,Frank Farrar,Robert Chamberlin,R,D,0.5765,0.4235
1968,Texas,Preston Smith,Paul Eggers,D,R,0.57,0.43
1968,Utah,Cal Rampton,Carl W. Buehner,D,R,0.6870999999999999,0.3129
1968,Vermont,Deane C. Davis,John J. Daley,R,D,0.555,0.445
1968,Washington,Daniel J. Evans,John J. O'Connell,R,D,0.5472,0.4428
1968,West Virginia,Arch A. Moore Jr.,James M. Sprouse,R,D,0.5009,0.4901
